word_id,sentence_id,sentence,context,word,label,special_tags,is_correct,corrected_label,corrected_special_tags,is_dirty,notes
22588,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,nko po wag,nko,FIL,ABB,TRUE,,,,
22589,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,nko po wag ka,po,FIL,,TRUE,,,,
22590,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,nko po wag ka paapekto,wag,FIL,,FALSE,,ABB,,
22591,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,po wag ka paapekto sa,ka,FIL,,TRUE,,,,
22592,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,wag ka paapekto sa mga,paapekto,FIL,,TRUE,,,,
22593,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,ka paapekto sa mga boshers,sa,FIL,,TRUE,,,,
22594,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,paapekto sa mga boshers mo,mga,FIL,,TRUE,,,,
22595,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,sa mga boshers mo kailangan,boshers,ENG,,TRUE,,,,
22596,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,mga boshers mo kailangan tangapin,mo,FIL,,TRUE,,,,
22597,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,boshers mo kailangan tangapin mo,kailangan,FIL,,TRUE,,,,
22598,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,mo kailangan tangapin mo sa,tangapin,FIL,,TRUE,,,,
22599,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,kailangan tangapin mo sa sarili,mo,FIL,,TRUE,,,,
22600,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,tangapin mo sa sarili mo,sa,FIL,,TRUE,,,,
22601,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,mo sa sarili mo di,sarili,FIL,,TRUE,,,,
22602,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,sa sarili mo di lahat,mo,FIL,,TRUE,,,,
22603,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,sarili mo di lahat ng,di,FIL,,FALSE,,ABB,,
22604,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,mo di lahat ng tao,lahat,FIL,,TRUE,,,,
22605,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,di lahat ng tao ma,ng,FIL,,TRUE,,,,
22606,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,lahat ng tao ma sa,tao,FIL,,TRUE,,,,
22607,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,ng tao ma sa satisfies,ma,FIL,,TRUE,,,TRUE,
22608,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,tao ma sa satisfies mo,sa,FIL,,TRUE,,,TRUE,
22609,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,ma sa satisfies mo yaan,satisfies,FIL,,FALSE,ENG,,,
22610,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,sa satisfies mo yaan mo,mo,FIL,,TRUE,,,,
22611,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,satisfies mo yaan mo cla,yaan,FIL,,FALSE,,ABB,,
22612,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,mo yaan mo cla mamoblema,mo,FIL,,TRUE,,,,
22613,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,yaan mo cla mamoblema syo,cla,FIL,ABB,TRUE,,,,
22614,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,mo cla mamoblema syo wag,mamoblema,FIL,,FALSE,UNK,,,
22615,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,cla mamoblema syo wag mo,syo,FIL,ABB,TRUE,,,,
22616,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,mamoblema syo wag mo .,wag,FIL,,FALSE,,ABB,,
22617,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,syo wag mo .,mo,FIL,,TRUE,,,,
22618,1405,nko po wag ka paapekto sa mga boshers mo kailangan tangapin mo sa sarili mo di lahat ng tao ma sa satisfies mo yaan mo cla mamoblema syo wag mo .,wag mo .,.,SYM,,TRUE,,,,
22619,1408,"Sinasabi niyo na di pa ako nagbabago na mas lumala ugali ko , lahat kasi may proseso .",Sinasabi niyo na,Sinasabi,FIL,,TRUE,,,,
22620,1408,"Sinasabi niyo na di pa ako nagbabago na mas lumala ugali ko , lahat kasi may proseso .",Sinasabi niyo na di,niyo,FIL,,FALSE,,ABB,,
